AÑO;IDNOREMP;CORRELA;IDOJ1;IDAIO;BRUTA;ARRIENDO;SERV_INT;PUBLICI;TRANSP;SERV_EXT;TOTAL_REM;VENTA;TOT_PERSO;INV_PRO;CTO
2014;982507;472;11;2004;181830;9600;15422;;2456;;128448;3501542;13;638832;3319712
2014;982489;472;11;1995;360166;12000;45020;;931;2650;229938;7143717;14;464377.5;6783551
2014;982487;472;11;1991;;;;;;;;582000;12;;
2014;982432;472;11;1975;1147609;;49264;;38266;37049;326871;9200269;18;754988.5;8052660
2014;982413;4711;4;1994;;;;;;;;1083096;18;;
2014;982409;472;11;2002;;;;;;;;902000;12;;
2014;982400;4711;11;1997;;;;;;;;2325957;14;;
2014;982368;472;14;2004;;;;;;;;679728;10;;
2014;982366;472;4;2007;;;;;;;;1365000;13;;
2014;982351;472;14;2011;;;;;;;;987410;15;;
2014;982344;472;14;2011;550331;21560;40743;;68000;729;275076;7127104;22;220031.5;6576773
2014;982327;472;14;2011;672840;13810;46866;;;2543;237440;8723153;14;773353.5;8050313
2014;982315;472;14;2010;;;;;;;;2627290;13;;
2014;982293;4711;14;2012;;;;;;;;1500000;5;;
2014;982292;472;11;1997;507541;;15755;;;3357;147507;9887243;14;1364113.5;9379702
2014;982274;4711;4;2007;;;;;;;;1100000;12;;
2014;982234;472;14;2013;737991;106251;34051;;815;18189;165373;5431027;14;27827.5;4693036
2014;982228;472;14;2013;;;;;;;;1584000;17;;
2014;982214;472;14;2013;160935;93098;20587;;;;73654;3189550;7;81393;3028615
2014;982209;472;11;2007;558544;57478;36164;16;;20132;153552;5487313;14;438144;4928769
2014;982179;472;14;2011;569966;966;36144;;22;112055;228285;3522733;13;419326;2952767
2014;982177;472;14;2012;812666;89890;21914;;;5726;274270;15631670;20;1662796.5;14819004
2014;982171;4711;14;2012;;;;;;;;1904945;11;;
2014;982170;472;14;2012;1090279;189798;62158;19498;142607;39054;267758;3417600;25;365905;2327321
2014;982166;472;14;2011;;;;;;;;690079;12;;
2014;982157;472;14;2012;332434;8400;68769;;48000;;92146;3795457;9;91614;3463023
2014;982150;4711;11;2012;;;;;;;;2946000;8;;
2014;982104;472;14;2013;736304;192840;29675;;45467;;389691;3623095;39;58125;2886791
2014;982097;472;14;2013;10132917;18578;901334;13111;627177;1084121;453016;32101035;33;7348152;21968118
2014;982085;4711;11;1986;;;;;;;;1582834;5;;
2014;982083;472;3;2007;;;;;;;;569881;17;;
2014;982066;472;11;2007;;;;;;;;1008915;15;;
2014;982059;4711;11;2002;;;;;;;;2059503;15;;
2014;981997;472;11;1993;;;;;;;;1624890;13;;
2014;981989;4711;11;2009;;;;;;;;2609058;10;;
2014;981969;472;5;2001;574524;;129282;2015;6004;48539;167324;10622074;10;54097.5;10047550
2014;981937;472;14;2009;655672;161340;142847;;;18432;289468;5815425;18;1157194;5159753
2014;981909;472;14;2010;;;;;;;;1740974;8;;
2014;981906;472;14;2013;575033;117160;58063;;;;339704;4592118;32;554245.5;4017085
2014;981860;472;11;2010;324664;;49067;431;56;4322;146573;3277674;10;163152.5;2953010
2014;981844;4711;11;1992;;;;;;;;1497488;10;;
2014;981775;472;11;2013;;;;;;;;492560;11;;
2014;981743;472;14;2010;419713;;10554;;;;198211;3179097;11;685184.5;2759384
2014;981740;472;11;2010;;;;;;;;2280152;3;;
2014;981686;472;11;2012;739044;301412;7407;503;34277;2844;121901;3854721;9;25592.5;3115677
2014;981683;4711;11;1999;;;;;;;;2311000;13;;
2014;981673;472;11;2009;;;;;;;;2333032;11;;
2014;981651;472;11;1992;;;;;;;;1051411;15;;
2014;981638;472;11;2009;314171;;5760;;;2742;129821;3122349;12;230577.5;2808178
2014;981598;472;11;2014;;;;;;;;1534675;6;;
2014;981591;472;11;2006;;;;;;;;2090543;8;;
2014;981590;472;11;1995;203262;;15689;985;5984;8306;40906;4054595;5;335277.5;3851333
2014;981584;4711;11;1996;;;;;;;;2399079;5;;
2014;981580;472;11;2001;450488;28800;85034;2900;1900;15539;175293;6236870;16;873449;5786382
2014;981577;472;14;2000;591433;24195;44688;473;17298;39063;173896;3560342;16;11467;2968909
2014;981523;472;4;2002;;;;;;;;1995867;10;;
2014;981500;472;14;2012;316828;18000;30969;;12040;368;90609;5230575;8;2590;4913747
2014;981497;472;14;2010;;;;;;;;1978788;13;;
2014;981484;472;14;2013;;;;;;;;2346505;12;;
